Don't Ask Why;Katzù Oso
Don't Lose Sight (Acoustic);Lawrence
Making it Right;Harrison Finks
Wtsdg (with Alessia Cara);CLAY
Velcro (feat. Gus Dapperton);spill tab
Whisper My Name;Adi Oasis
Saturday;Couch
Autumn;Couch
Seasonal Love;Ali Gatie
How Great Is Our God - Live;Passion
One Night;GUNNAR
15th Floor;PREP
Penelope;Early Eyes
BETTER THINGS;BROCKHAMPTON
end credits;Sarah Kang
about time;Sarah Kang
Poems;Couch
Feels So Good;Isak Thomas and The Stoop Boys
When You Lose Someone (Acoustic);The Dip
4U;Vinida Weng
God Complex;The True Blue
Better Is One Day;Matt Redman
Everytime We Touch - Version 1;Cascada
Elevator (127F);NCT 127
Runaway;PENTAGON
10 Steps;Christian Leave
i just wanna go home;boy pablo
It's Working;MGMT
She’s Dreaming;EXO
Sunday Morning;The Main Squeeze
Stand Up;Couch
Sticking to My Guns;PJ Morton
人间天堂;王以太
Better in My Head;The Ivy
Perfect Conditions;Sam MacPherson
Shout to the Lord;Hillsong Worship
Magnificent;Hillsong Worship
Highway to Heaven;NCT 127
QYURRYUS;The Voidz
Honey Bun;Yuno Miles
For Life - English Version, Live;EXO
Strangers;Mt. Joy
你還不知道?;Gentle Bones
Horizon;WayV
Mighty To Save;Hillsong UNITED
Mirror;Stray Kids
Open Up;PREP
Life Can Wait;Larry Lovestein & The Velvet Revival
Prophecy of the Dragon;The Voidz
Lazy Boy;The Voidz
No Plans To Make Plans;Lime Cordiale
Ambergris;King Gizzard & The Lizard Wizard
Gravity;DPR LIVE
Moonlight - Sped Upp;Xanemusic
California Wine;Quinn Devlin
Lagoon;Dora Jar
Paul Newman Daytona Rolex;Brett Dennen
Shook;Meghan Trainor
你的目光 (The Way You Felt);Alec Benjamin
CACTUS;LÜCY
My Man;Jony J
Good Thing;NCT 127
Futures;PREP
Long Gone;Phum Viphurit
Do I Look Worried;Tedeschi Trucks Band
Wish I Could;Victor Lundberg
Another Weekend;Ariel Pink
Where No Eagles Fly;The Voidz
SAN MARCOS;BROCKHAMPTON
Baby Don't Leave Me Alone With My Thoughts;Lake Street Dive
Fall Into Place;Couch
Still Feeling You;Couch
Promise;Harikiri
14;Clinton Kane
Pop a Pill;gianni & kyle
Always You;ASTRO
Tough Love;Beach Fossils
Rocky's Late Night;Albert Hammond Jr
WHAT WOULD YOU DO? (feat. Pink Sweat$);HONNE
Peach;BROODS
Simon Dominic;Simon Dominic
Gaia;King Gizzard & The Lizard Wizard
Hong Kong;Yuno Miles
PayDay;Yuno Miles
nostalgia;Crush
Interior People;King Gizzard & The Lizard Wizard
NEON;DPR LIVE
26;Lauv
Rollin';Blessing Offor
Chelsea Dagger;The Fratellis
feel the same;The Millennial Club
MY TYPE;iKON
Good Evening;SHINee
Fly;GOT7
Teenager;GOT7
The Dripping Tap;King Gizzard & The Lizard Wizard
Future Me Hates Me;The Beths
I Follow You;Melody's Echo Chamber
Born To Praise;Planetshakers
Grow;Samm Henshaw
Good Night;Lil Ghost小鬼
Wishing We Were More Than Friends;push baby
Elvis Song;Maisie Peters
Nothing Is Impossible;Planetshakers
NOW;Olivia O'Brien
My Mind Is a Maze;Alann8h
Look;GOT7
Insomnia;Stray Kids
The Widow;The Mars Volta
Expert In A Dying Field;The Beths
If I Believe You;The 1975
Wait;EXO
Tomorrow, Today;JJ Project
As You Find Me - Live;Hillsong UNITED
LAX;Vulfpeck
Easy to Love;Couch
Follow Me Like the Moon;Sammy Rae & The Friends
I Wish I Was There;瘦子E.SO
巴黎的十二點;OHMYMEITING
Crush On You (feat. step.jad);Masiwei
Yellow Hearts (feat. Audrey Mika);Ant Saunders
Candy Wine;Lostboycrow
NOW;Olivia O'Brien
My Mind Is a Maze;Alann8h
Look;GOT7
Insomnia;Stray Kids
The Widow;The Mars Volta
Expert In A Dying Field;The Beths
If I Believe You;The 1975
Wait;EXO
Tomorrow, Today;JJ Project
As You Find Me - Live;Hillsong UNITED
LAX;Vulfpeck
Easy to Love;Couch
Follow Me Like the Moon;Sammy Rae & The Friends
I Wish I Was There;瘦子E.SO
巴黎的十二點;OHMYMEITING
Crush On You (feat. step.jad);Masiwei
Yellow Hearts (feat. Audrey Mika);Ant Saunders
Candy Wine;Lostboycrow
Wonderful Life - edit;Two Door Cinema Club
Long Distance Call;Phoenix
Truth Interlude;Mndsgn
Hurts Just Right;The Ivy
Inertiatic Esp;The Mars Volta
Fever;Inner Wave
Disco Ulysses (Instrumental);Vulfpeck
Color Drive;DPR CREAM
Let Me Get To Know You;Hajaj
Baby I'll Wait;Michael Bublé
海浪;deca joins
阿司匹林;王以太
nevermind;Valley
I'm Not In Love;Ber
Keep It Gold;Surfaces
Pink Ocean;The Voidz
Good News;Mac Miller
coming of age;mxmtoon
For Life;EXO
Yellow Cab;DPR LIVE
New Guru;Vulfpeck
Patrol Acrobatique;The Fearless Flyers
parking lot view;almost monday
Lion and the Lamb - Studio;Leeland
Shouldn't Couldn't Wouldn't;88rising
we made it.;david hugo
9-TEEN;SEVENTEEN
drive all night;joan
Booster;Stray Kids
Who's Got You Singing Again;PREP
Line by Line;PREP
Put The Money In The Bag;Yuno Miles
Circles;Mac Miller
Don't Fade Away;Beach Fossils
Roll with It - Remastered;Oasis
False Direction;Dayglow
say what's on your mind;slchld
Magenta Mountain;King Gizzard & The Lizard Wizard
Diamonds + And Pearls;DPR LIVE
All That I Need;Ebony Loren
Slow Song (with Dragonette);The Knocks
Automatic;Lake Street Dive
If I Weren't Me;Katherine Li
心如止水;Ice Paper
紅豆;Khalil Fong
dramatic;Cat & Calmell
Jericho;Landon Conrath
Same God - Radio Version;Elevation Worship
Gift;MeloMance
Tunnel of Love;ilyTOMMY
BUNKER/PREROLL;mynameisntjmack
library of the universe;cosmic collective
Martin Luther;Yuno Miles
Under the Sun;DIIV
7PM;Lilacs.
Atop a Cake;Alvvays
How Was Your Day?;Mellow Fellow
タイム・リミット;CASIOPEA
To Myself;DPR LIVE
thirst;DPR LIVE
Summer Tights;DPR LIVE
20;SEVENTEEN
Don't I Make It Look Easy;Meghan Trainor
Consider Me;Allen Stone
Dancing My Way;Wyn Starks
Steady Love;Ben Rector
The Feeling;Sammy Rae & The Friends
Without You - Acoustic Version;高爾宣 OSN
OH NO!;Cody Lovaas
Treasure - Cash Cash Radio Mix;Bruno Mars
Don't Lose Sight;Lawrence
Don't Mind If I Do;Mac Miller
Cheapest Flight;PREP
Lying Through Their Teeth;Krooked Kings
Move! (Prod. Slom);pH-1
The City;The 1975
UGH!;The 1975
Indiana Jones;Yuno Miles
Hello, Anxiety;Phum Viphurit
Car Crash;eaJ
Tap Out;The Strokes
Kepler-22b;King Gizzard & The Lizard Wizard
Traingazing;Sam Wills
27;Machine Gun Kelly
Supply & Demand;Wilder Woods
Vibes;Chase Atlantic
No Worries;Devin Kennedy
Here I Bow;Jenn Johnson
Oblivius;The Strokes
Secret;Joshua Bassett
Square (2017);Yerin Baek
Would You Mind;HYBS
Then Because She Goes;The 1975
Flexorcist;The Voidz
Leave It In My Dreams;The Voidz
Hula Hoops;DPR LIVE
sheluvme;Tai Verdes
Good Life;Sammy Rae & The Friends
Another In The Fire - Live;Hillsong UNITED
Charlie Be Quiet!;Charlie Puth
Cutting My Fingers Off;Turnover
Nice to See You;Vansire
Out Getting Ribs;King Krule
Planet God Damn (feat. Njomza);Mac Miller
Put Me Thru;Anderson .Paak
Somebody New;Sophia James
Across the Room;Public Library Commute
From Home;NCT U
24;sundial
Lancaster Nights;Charlie Burg
ghost town;JVKE
Pretty Face;PUBLIC
Tonight (I Wish I Was Your Boy);The 1975
She's American;The 1975
Daydreaming;NxWorries
Take Me With You;Neck Deep
23;Chase Atlantic
lay it down;Steelix
Kick It to Me;Sammy Rae & The Friends
Apollo;St. Paul & The Broken Bones
Talk It Up;Sammy Rae & The Friends
Drunk On A Flight;Eloise
lowercase;Landon Conrath
GROWING UP IS _____;Ruel
Dræm Girl;No Vacation
10:36;beabadoobee
New To You (with Normani, Tinashe & Offset);Calvin Harris
Been Through;EXO
Do You Like Me?;Daniel Caesar
ghosts;Highvyn
Martini Blue;DPR LIVE
Boom;DPR LIVE
Rover (feat. DTG) - Higher and Faster Remix;S1mba
Fresh Roses;Juke Ross
Loose Change;Devin Kennedy
parachute;John K
Somethin Wrong In Heaven;Marlon Craft
The Fall;half•alive
I Couldn't Be More In Love;The 1975
Out Like a Light;The Honeysticks
supercuts;Jeremy Zucker
Valentina;Daniel Caesar
BEAUTIFUL;SEVENTEEN
Jam & Butterfly;DPR LIVE
Silver Soul;Beach House
Fire In The Sky;Anderson .Paak
Living My Best Life;Ben Rector
Joy;Andy Grammer
Lemonhaze;PawPaw Rod
Love Back;Why Don't We
orange show speedway;Lizzy McAlpine
Wings;So!YoON!
Sex;The 1975
Serenade of Water;Men I Trust
Feeling Lonely;boy pablo
Everything Eventually Ends;L'Impératrice
Nothing Is Impossible (Featuring Israel Houghton);Planetshakers
Feels Like You;Faime
Don't You Worry 'Bout A Thing;Tori Kelly
Give Yourself A Try;The 1975
Juicebox;The Strokes
State Line;The Dip
Text Me;DPR LIVE
Strawberry Sunscreen;Lostboycrow
Wherever I Go (feat. Lawrence & Michael McDonald);Jacob Collier
free love;HONNE
Come Around;Hoodie Allen
Dive Into You;NCT DREAM
Hype;Drake
Stay;The Hails
Girls;The 1975
Me & You Together Song;The 1975
20190724;Mac DeMarco
Ocho Rios;Daniel Caesar
Peach Pit;Peach Pit
Lasso;Phoenix
Favorite (Vampire);NCT 127
KISS ME;DPR LIVE
AT THE PARTY (feat. Pharrell Williams & Travis Scott);Kid Cudi
21;DEAN
It's A Wrap;Mariah Carey
Hypotheticals;Lake Street Dive
dose;Teddy Swims
小幸運;Hebe Tien
童話;Michael Wong
Lemonade;Jeremy Passion
Last Minute;Sam MacPherson
The Great Escape;BOYS LIKE GIRLS
This Life;Vampire Weekend
Narcissist (feat. The 1975);No Rome
Roses;SAINt JHN
Bitter;Palace
u;Kendrick Lamar
last day on earth;Tai Verdes
Sheesh!;Surfaces
Falling;Chase Atlantic
Something Bout That Feeling;Devin Kennedy
Roses;SAINt JHN
Welcome To Japan;The Strokes
Lauren;Men I Trust
Tommy's Party;Peach Pit
Billie Toppy;Men I Trust
Bad Decisions;The Strokes
Lean On (feat. MØ & DJ Snake);Major Lazer
Always;Daniel Caesar
Rocketeer;Far East Movement
Lucid Dreams (feat. Lil Uzi Vert) - Remix;Juice WRLD
i;Kendrick Lamar
Rollin (feat. Future & Khalid);Calvin Harris
Never Goodbye;NCT DREAM
Places We Won't Walk;Bruno Major
就忘了吧;1K
take care;elijah woods
all my ghosts;Lizzy McAlpine
Can We Dance;The Vamps
Lean On (feat. MØ & DJ Snake);Major Lazer
Jet Lag (feat. Natasha Bedingfield);Simple Plan
pg baby;redveil
I Don’t Think That I Like Her;Charlie Puth
Energetic;Wanna One
As It Was;PREP
Sincerity Is Scary;The 1975
TOOTIMETOOTIMETOOTIME;The 1975
blue;keshi
Stay;Mac Miller
she likes spring, I prefer winter;slchld
Greek Tragedy - Oliver Nelson TikTok Remix;The Wombats
Nonsense - Sped Up Version;Sabrina Carpenter
Maybe We Could Be a Thing;Jesse Barrera
Wonder Woman;John Legend
You;Miley Cyrus
Eat Your Young;Hozier
Kill V. Maim;Grimes
don't miss me;Claire Rosinkranz
Great Are You Lord - Live;All Sons & Daughters
Want U Back;Cher Lloyd
Believe What I Say;Kanye West
A Certain Romance;Arctic Monkeys
The Sound;The 1975
Do You Like Me?;Daniel Caesar
Last Train Home;John Mayer
quel type de vibe?;aupinard
AMAZING;Rex Orange County
Back Pocket;Vulfpeck
Musta Been a Ghost;Próxima Parada
"想見你想見你想見你(電視劇""想見你""片尾曲)";831
Crash My Car;COIN
Isabelle;Zach Hood
everything sucks (feat. Eric Nam);vaultboy
Why Are Sundays So Depressing;The Strokes
Like or Like Like;Miniature Tigers
Happiness;The 1975
I Always Wanna Die (Sometimes);The 1975
Reckoner;Radiohead
Sweet Dreams, TN;The Last Shadow Puppets
less of you;keshi
Do You Like Me?;Daniel Caesar
If You’re Too Shy (Let Me Know);The 1975
Jasmine;DPR LIVE
你，好不好？ - TVBS連續劇【遺憾拼圖】片尾曲;Eric Chou
Without You;高爾宣 OSN
Close To You;Dayglow
Chocolate;The 1975
skeletons;keshi
Hand Me Downs;Mac Miller
Let Her Go (feat. Ed Sheeran) - Anniversary Edition;Passenger
Forget About You (Intimate);Devin Kennedy
These Walls;Kendrick Lamar
Sweetest Pie;Megan Thee Stallion
Beautiful Stranger;Laufey
reckless driving;Lizzy McAlpine
Love Affair;UMI
Let Her Go (feat. Ed Sheeran) - Anniversary Edition;Passenger
Death of a Bachelor;Panic! At The Disco
Shibuya (feat. Syd);Free Nationals
Under Cover of Darkness;The Strokes
I Sat by the Ocean;Queens of the Stone Age
Cinderella (feat. Ty Dolla $ign);Mac Miller
2009;Mac Miller
Time Moves Slow;BADBADNOTGOOD
Ylang Ylang;FKJ
Best Friend;Laufey
Undercover Martyn;Two Door Cinema Club
Disorder - 2007 Remaster;Joy Division
Valentina;Daniel Caesar
Cherry-coloured Funk;Cocteau Twins
Sorry;Justin Bieber
Betty (Get Money);Yung Gravy
GUY.exe;Superfruit
Last Friday Night (T.G.I.F.);Katy Perry
Sorry;Justin Bieber
Virtual Insanity - Remastered;Jamiroquai
Talk Too Much;COIN
Love It If We Made It;The 1975
Iron Man (2009 - Remaster);Black Sabbath
Today - 2011 Remaster;The Smashing Pumpkins
apart of me;Takayoshi
0 To 100 / The Catch Up;Drake
She;Harry Styles
Paranoid Android;Radiohead
What's the Use?;Mac Miller
Kyoto;Phoebe Bridgers
Maple Syrup;The Backseat Lovers
Lost In Japan;Shawn Mendes
Love Yourself;Justin Bieber
SUGAR;BROCKHAMPTON
I'm In Love With You;The 1975
Righteous Minds;Joey Bada$$
High School in Jakarta;NIKI
Skate;Bruno Mars
Shut Up And Drive;Rihanna
Love Yourself;Justin Bieber
Stop The World I Wanna Get Off With You;Arctic Monkeys
Metamodernity;Vansire
Robbers;The 1975
like i need u;keshi
Die For You (with Ariana Grande) - Remix;The Weeknd
Someday;The Strokes
LOVE SCENARIO;iKON
IT'S YOU (feat. keshi);MAX
What a Fool Believes;The Doobie Brothers
Paris in the Rain;Lauv
Really Don't Care;Demi Lovato
Die For You (with Ariana Grande) - Remix;The Weeknd
Toosie Slide;Drake
Elephant;Tame Impala
Lose Yourself;Eminem
Hysteria;Muse
Somebody Else;The 1975
Fake Plastic Trees;Radiohead
AMAZING;Rex Orange County
Billionaire (feat. Bruno Mars);Travie McCoy
Runaway Baby;Bruno Mars
Lose Yourself;Eminem
LOOOVE (feat. Kid Cudi);Travis Scott
Candy;Doja Cat
Cherry Wine;grentperez
CYANIDE;Daniel Caesar
Come Back to Earth;Mac Miller
No One Knows;Queens of the Stone Age
Space Song;Beach House
MONTERO (Call Me By Your Name);Lil Nas X
Bohemian Rhapsody;Queen
It's Not Living (If It's Not With You);The 1975
Slow Jamz;Twista
After Last Night (with Thundercat & Bootsy Collins);Bruno Mars
Never Say Never;Justin Bieber
Live While We're Young;One Direction
One Thing;One Direction
What the Hell;Avril Lavigne
Party Rock Anthem;LMFAO
Symphony (feat. Zara Larsson);Clean Bandit
LOOOVE (feat. Kid Cudi);Travis Scott
Candy;Doja Cat
Cherry Wine;grentperez
CYANIDE;Daniel Caesar
Come Back to Earth;Mac Miller
No One Knows;Queens of the Stone Age
Space Song;Beach House
MONTERO (Call Me By Your Name);Lil Nas X
Bohemian Rhapsody;Queen
It's Not Living (If It's Not With You);The 1975
Slow Jamz;Twista
After Last Night (with Thundercat & Bootsy Collins);Bruno Mars
Never Say Never;Justin Bieber
Live While We're Young;One Direction
One Thing;One Direction
What the Hell;Avril Lavigne
Party Rock Anthem;LMFAO
Symphony (feat. Zara Larsson);Clean Bandit
Bohemian Rhapsody;Queen
MONTERO (Call Me By Your Name);Lil Nas X
What You Know;Two Door Cinema Club
III. Urn;Childish Gambino
Love Again;Dua Lipa
You Belong With Me;Taylor Swift
Super Freaky Girl;Nicki Minaj
Wish You Were Sober;Conan Gray
Tek It;Cafuné
What Once Was;Her's
Walk It Talk It;Migos
The Thrill;Wiz Khalifa
Follow God;Kanye West
Fall In Love Alone;Stacey Ryan
Come Inside Of My Heart;IV Of Spades
We Are Never Ever Getting Back Together;Taylor Swift
Domino;Jessie J
Somebody To You;The Vamps
Girlfriend;Avril Lavigne
F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar);A$AP Rocky
Reptilia;The Strokes
Goodie Bag;Still Woozy
Dance Monkey;Tones And I
Through The Wire;Kanye West
Dynamite;Taio Cruz
Best Song Ever;One Direction
Boyfriend;Justin Bieber
Dance Monkey;Tones And I
Learn to Fly;Foo Fighters
Every Summertime;NIKI
Freak On a Leash;Korn
Psycho (feat. Ty Dolla $ign);Post Malone
Escapism. - Sped Up;RAYE
Valentine;Laufey
Eenie Meenie;Sean Kingston
Shower;Becky G
Good Time;Owl City
THE SHADE;Rex Orange County
the perfect pair;beabadoobee
Fluorescent Adolescent;Arctic Monkeys
Where Is My Mind? - Remastered;Pixies
Stairway to Heaven - Remaster;Led Zeppelin
Pluto Projector;Rex Orange County
Small Worlds;Mac Miller
DÁKITI;Bad Bunny
INDUSTRY BABY (feat. Jack Harlow);Lil Nas X
Señorita;Shawn Mendes
Self Care;Mac Miller
Let It Happen;Tame Impala
The Adults Are Talking;The Strokes
POWER;Kanye West
22 (Taylor's Version);Taylor Swift
Out of Time;The Weeknd
Let You Break My Heart Again;Laufey
Glue Song;beabadoobee
boyfriend (with Social House);Ariana Grande
Replay;Iyaz
Glad You Came;The Wanted
Señorita;Shawn Mendes
DÁKITI;Bad Bunny
INDUSTRY BABY (feat. Jack Harlow);Lil Nas X
Don't Let Me Down;The Chainsmokers
Wonderwall - Remastered;Oasis
Faded;Alan Walker
Levitating;Dua Lipa
Havana (feat. Young Thug);Camila Cabello
New Person, Same Old Mistakes;Tame Impala
DNA.;Kendrick Lamar
this is what falling in love feels like;JVKE
Ghost Town;Kanye West
Strawberries & Cigarettes;Troye Sivan
I Knew You Were Trouble.;Taylor Swift
Steal My Girl;One Direction
Havana (feat. Young Thug);Camila Cabello
Levitating;Dua Lipa
Faded;Alan Walker
Wonderwall - Remastered;Oasis
Don't Let Me Down;The Chainsmokers
It's My Life;Bon Jovi
TOPIA TWINS (feat. Rob49 & 21 Savage);Travis Scott
White Ferrari;Frank Ocean
Japanese Denim;Daniel Caesar
Mood (feat. iann dior);24kGoldn
Dynamite;BTS
thank u, next;Ariana Grande
I Took A Pill In Ibiza - Seeb Remix;Mike Posner
Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis
Alright;Kendrick Lamar
Shinunoga E-Wa;Fujii Kaze
First Class;Jack Harlow
DJ Got Us Fallin' In Love (feat. Pitbull);USHER
Super Bass;Nicki Minaj
24K Magic;Bruno Mars
High Hopes;Panic! At The Disco
Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis
Dynamite;BTS
I Took A Pill In Ibiza - Seeb Remix;Mike Posner
thank u, next;Ariana Grande
Mood (feat. iann dior);24kGoldn
Classic;MKTO
About You;The 1975
Toxicity;System Of A Down
Always;Daniel Caesar
Stitches;Shawn Mendes
Better Now;Post Malone
Without Me;Halsey
New Rules;Dua Lipa
XO Tour Llif3;Lil Uzi Vert
SAD!;XXXTENTACION
Mask Off;Future
Can't Tell Me Nothing;Kanye West
Until I Found You;Stephen Sanchez
Bad Habit;Steve Lacy
double take;dhruv
Speed Drive (From Barbie The Album);Charli XCX
Stereo Hearts (feat. Adam Levine);Gym Class Heroes
Timber (feat. Ke$ha);Pitbull
Cake By The Ocean;DNCE
Treasure;Bruno Mars
SAD!;XXXTENTACION
XO Tour Llif3;Lil Uzi Vert
New Rules;Dua Lipa
Without Me;Halsey
Better Now;Post Malone
Stitches;Shawn Mendes
Summer Of '69;Bryan Adams
R U Mine?;Arctic Monkeys
SLOW DANCING IN THE DARK;Joji
Moonlight;XXXTENTACION
Smells Like Teen Spirit;Nirvana
Congratulations;Post Malone
Jocelyn Flores;XXXTENTACION
bad guy;Billie Eilish
Don't Start Now;Dua Lipa
YKWIM?;Yot Club
Stronger;Kanye West
Made You Look;Meghan Trainor
Violent Crimes;Kanye West
Baby;Justin Bieber
Party In The U.S.A.;Miley Cyrus
TiK ToK;Kesha
Call Me Maybe;Carly Rae Jepsen
Low (feat. T-Pain);Flo Rida
bad guy;Billie Eilish
Don't Start Now;Dua Lipa
Jocelyn Flores;XXXTENTACION
Congratulations;Post Malone
Smells Like Teen Spirit;Nirvana
Moonlight;XXXTENTACION
Feel Good Inc.;Gorillaz
Show Me How;Men I Trust
Get You (feat. Kali Uchis);Daniel Caesar
Cold Heart - PNAU Remix;Elton John
Don't Stop Me Now - Remastered 2011;Queen
Uptown Funk (feat. Bruno Mars);Mark Ronson
Happier;Marshmello
SICKO MODE;Travis Scott
7 rings;Ariana Grande
Shallow;Lady Gaga
Thinking out Loud;Ed Sheeran
rockstar (feat. 21 Savage);Post Malone
STAY (with Justin Bieber);The Kid LAROI
golden hour;JVKE
Sunroof;Nicky Youre
Swim;Chase Atlantic
Cupid - Twin Ver.;FIFTY FIFTY
LOVE. FEAT. ZACARI.;Kendrick Lamar
What Makes You Beautiful;One Direction
Shake It Off;Taylor Swift
Shut Up and Dance;WALK THE MOON
rockstar (feat. 21 Savage);Post Malone
STAY (with Justin Bieber);The Kid LAROI
Thinking out Loud;Ed Sheeran
Shallow;Lady Gaga
SICKO MODE;Travis Scott
7 rings;Ariana Grande
Happier;Marshmello
Uptown Funk (feat. Bruno Mars);Mark Ronson
Don't Stop Me Now - Remastered 2011;Queen
Cold Heart - PNAU Remix;Elton John
